index,lat_deg,lon_deg,cumulative_surface_distance_km,cumulative_flight_distance_km,density_kg_m3,temperature_k,pressure_pa
829,31.898644,137.693564,10961.558,10998.268,0.07443303,210.839,4504.791
830,31.821910,137.587867,10974.690,11011.444,0.07444735,210.806,4504.941
831,31.745198,137.482157,10987.828,11024.625,0.07446176,210.772,4505.098
832,31.668509,137.376435,11000.971,11037.812,0.07447594,210.739,4505.242
833,31.591840,137.270701,11014.120,11051.005,0.07449007,210.706,4505.386
834,31.515192,137.164957,11027.274,11064.203,0.07450420,210.672,4505.529
835,31.438564,137.059204,11040.434,11077.407,0.07451840,210.639,4505.680
836,31.361954,136.953442,11053.599,11090.617,0.07453247,210.606,4505.824
837,31.285363,136.847672,11066.770,11103.832,0.07454647,210.573,4505.967
838,31.208789,136.741896,11079.946,11117.052,0.07456046,210.541,4506.110
839,31.132231,136.636115,11093.128,11130.278,0.07457439,210.508,4506.250
840,31.055690,136.530328,11106.315,11143.509,0.07458840,210.475,4506.398
841,30.979164,136.424537,11119.507,11156.746,0.07460226,210.443,4506.538
842,30.902653,136.318744,11132.705,11169.988,0.07461628,210.410,4506.690
843,30.826155,136.212948,11145.908,11183.235,0.07462993,210.378,4506.820
844,30.749671,136.107151,11159.117,11196.488,0.07464374,210.345,4506.962
845,30.673199,136.001354,11172.330,11209.746,0.07465740,210.313,4507.097
846,30.596739,135.895558,11185.549,11223.009,0.07467107,210.281,4507.234
847,30.520290,135.789763,11198.774,11236.277,0.07468481,210.249,4507.377
848,30.443851,135.683971,11212.003,11249.551,0.07469842,210.217,4507.514
849,30.367423,135.578183,11225.237,11262.830,0.07471181,210.185,4507.639
850,30.291003,135.472399,11238.477,11276.114,0.07472549,210.154,4507.782
851,30.214592,135.366620,11251.722,11289.403,0.07473889,210.122,4507.912
852,30.138189,135.260848,11264.971,11302.697,0.07475236,210.090,4508.047
853,30.061793,135.155082,11278.226,11315.996,0.07476576,210.059,4508.179
854,29.985403,135.049325,11291.486,11329.300,0.07477910,210.027,4508.310
855,29.909020,134.943577,11304.750,11342.609,0.07479244,209.996,4508.442
856,29.832641,134.837839,11318.020,11355.923,0.07480564,209.965,4508.567
857,29.756268,134.732112,11331.294,11369.241,0.07481884,209.934,4508.695
858,29.679898,134.626397,11344.573,11382.565,0.07483205,209.903,4508.824
859,29.603532,134.520695,11357.857,11395.893,0.07484519,209.872,4508.952
860,29.527169,134.415006,11371.145,11409.227,0.07485832,209.841,4509.080
861,29.450808,134.309332,11384.439,11422.564,0.07487140,209.810,4509.207
862,29.374448,134.203674,11397.737,11435.907,0.07488433,209.780,4509.327
863,29.298090,134.098032,11411.039,11449.254,0.07489741,209.749,4509.457
864,29.221732,133.992407,11424.346,11462.606,0.07491027,209.719,4509.575
865,29.145374,133.886802,11437.658,11475.962,0.07492307,209.688,4509.693
866,29.069015,133.781215,11450.974,11489.322,0.07493600,209.658,4509.819
867,28.992655,133.675649,11464.294,11502.688,0.07494895,209.628,4509.949
868,28.916294,133.570103,11477.619,11516.057,0.07496148,209.597,4510.054
869,28.839929,133.464580,11490.949,11529.431,0.07497443,209.568,4510.188
870,28.763562,133.359080,11504.282,11542.809,0.07498695,209.538,4510.297
871,28.687192,133.253604,11517.620,11556.192,0.07499962,209.508,4510.416
872,28.610817,133.148153,11530.962,11569.578,0.07501230,209.478,4510.538
873,28.534438,133.042728,11544.308,11582.969,0.07502475,209.448,4510.649
874,28.458054,132.937330,11557.658,11596.364,0.07503729,209.419,4510.766
875,28.381664,132.831959,11571.012,11609.763,0.07504968,209.389,4510.875
876,28.305267,132.726617,11584.371,11623.166,0.07506215,209.360,4510.992
877,28.228865,132.621305,11597.733,11636.573,0.07507455,209.331,4511.106
878,28.152454,132.516023,11611.099,11649.984,0.07508667,209.301,4511.204
879,28.076037,132.410772,11624.469,11663.399,0.07509901,209.272,4511.318
880,27.999611,132.305554,11637.843,11676.817,0.07511134,209.243,4511.434
881,27.923176,132.200369,11651.220,11690.239,0.07512346,209.214,4511.538
882,27.846732,132.095219,11664.602,11703.665,0.07513551,209.186,4511.641
883,27.770278,131.990103,11677.986,11717.095,0.07514764,209.157,4511.749
884,27.693814,131.885024,11691.375,11730.528,0.07515971,209.128,4511.855
885,27.617339,131.779982,11704.767,11743.965,0.07517176,209.100,4511.962
886,27.540853,131.674977,11718.162,11757.406,0.07518368,209.071,4512.063
887,27.464356,131.570012,11731.561,11770.849,0.07519554,209.043,4512.162
888,27.387846,131.465086,11744.964,11784.297,0.07520746,209.014,4512.268
889,27.311324,131.360201,11758.369,11797.747,0.07521939,208.986,4512.376
890,27.234788,131.255357,11771.778,11811.201,0.07523111,208.958,4512.471
891,27.158239,131.150556,11785.190,11824.658,0.07524275,208.930,4512.565
892,27.081676,131.045799,11798.606,11838.118,0.07525447,208.902,4512.665
893,27.005099,130.941086,11812.024,11851.582,0.07526612,208.875,4512.763
894,26.928506,130.836418,11825.445,11865.048,0.07527763,208.847,4512.854
895,26.851898,130.731797,11838.870,11878.517,0.07528922,208.819,4512.952
896,26.775275,130.627222,11852.297,11891.990,0.07530087,208.792,4513.055
897,26.698635,130.522696,11865.727,11905.465,0.07531217,208.764,4513.140
898,26.621979,130.418219,11879.160,11918.943,0.07532348,208.737,4513.225
899,26.545305,130.313791,11892.596,11932.423,0.07533492,208.710,4513.321
900,26.468614,130.209415,11906.035,11945.907,0.07534623,208.682,4513.411
901,26.391905,130.105090,11919.476,11959.393,0.07535747,208.655,4513.499
902,26.315177,130.000817,11932.919,11972.882,0.07536878,208.628,4513.593
903,26.238431,129.896599,11946.366,11986.373,0.07537989,208.601,4513.676
904,26.161666,129.792434,11959.814,11999.867,0.07539099,208.575,4513.760
905,26.084880,129.688325,11973.265,12013.363,0.07540209,208.548,4513.848
906,26.008075,129.584272,11986.719,12026.861,0.07541297,208.521,4513.924
907,25.931250,129.480277,12000.174,12040.362,0.07542409,208.495,4514.015
908,25.854403,129.376339,12013.632,12053.865,0.07543483,208.468,4514.086
909,25.777536,129.272460,12027.092,12067.370,0.07544573,208.442,4514.168
910,25.700647,129.168641,12040.555,12080.878,0.07545663,208.416,4514.252
911,25.623735,129.064883,12054.019,12094.387,0.07546746,208.390,4514.333
912,25.546802,128.961187,12067.485,12107.898,0.07547815,208.364,4514.408
913,25.469845,128.857553,12080.953,12121.411,0.07548884,208.338,4514.485
914,25.392866,128.753982,12094.423,12134.927,0.07549939,208.312,4514.555
915,25.315863,128.650476,12107.895,12148.444,0.07550986,208.286,4514.623
916,25.238836,128.547035,12121.369,12161.962,0.07552055,208.260,4514.706
917,25.161784,128.443660,12134.844,12175.483,0.07553096,208.235,4514.773
918,25.084708,128.340352,12148.321,12189.004,0.07554130,208.209,4514.838
919,25.007607,128.237112,12161.799,12202.528,0.07555164,208.184,4514.907
920,24.930481,128.133940,12175.279,12216.053,0.07556199,208.159,4514.976
921,24.853329,128.030839,12188.760,12229.579,0.07557240,208.133,4515.051
922,24.776151,127.927807,12202.243,12243.107,0.07558260,208.108,4515.115
923,24.698946,127.824847,12215.727,12256.636,0.07559267,208.083,4515.173
924,24.621714,127.721960,12229.212,12270.167,0.07560287,208.058,4515.242
925,24.544456,127.619145,12242.698,12283.698,0.07561287,208.034,4515.300
926,24.467169,127.516404,12256.186,12297.231,0.07562271,208.009,4515.351
927,24.389855,127.413739,12269.674,12310.765,0.07563278,207.984,4515.417
928,24.312513,127.311149,12283.164,12324.299,0.07564278,207.960,4515.481
929,24.235142,127.208635,12296.654,12337.835,0.07565256,207.935,4515.533
930,24.157742,127.106199,12310.146,12351.372,0.07566234,207.911,4515.589
931,24.080314,127.003842,12323.638,12364.909,0.07567213,207.887,4515.646
932,24.002855,126.901563,12337.131,12378.447,0.07568170,207.862,4515.692
933,23.925367,126.799365,12350.624,12391.986,0.07569128,207.838,4515.740
934,23.847848,126.697247,12364.119,12405.525,0.07570115,207.814,4515.808
